Municipality,Ano,Total_Estabelecimentos,Taxa_Crescimento_Total_Estabelecimentos,Total_Empregos,Taxa_Crescimento_Total_Empregos
Aparecida,2018,596.0,16.862745098039223,15770,0.1397002794005564
Aparecida,2019,736.0,23.48993288590604,16015,1.553582752060878
Aparecida,2020,782.0,6.25,14788,-7.6615672806743635
Aparecida,2021,691.0,-11.636828644501271,13499,-8.716526913713817
Cachoeira Paulista,2018,432.0,8.5427135678392,6830,2.123205741626788
Cachoeira Paulista,2019,525.0,21.527777777777768,6924,1.3762811127379315
Cachoeira Paulista,2020,706.0,34.47619047619048,6214,-10.254188330444824
Cachoeira Paulista,2021,564.0,-20.113314447592067,6158,-0.901190859349854
Campos Do Jordão,2018,932.0,7.621247113163965,17930,3.4204302935917363
Campos Do Jordão,2019,1107.0,18.77682403433476,18581,3.630786391522589
Campos Do Jordão,2020,1168.0,5.510388437217695,16866,-9.229858457564177
Campos Do Jordão,2021,1178.0,0.8561643835616417,18411,9.160441124155106
Canas,2018,73.0,5.797101449275366,1720,-2.4390243902439046
Canas,2019,74.0,1.3698630136986356,1147,-33.31395348837209
Canas,2020,182.0,145.94594594594597,1224,6.713164777680913
Canas,2021,122.0,-32.96703296703297,1434,17.156862745098046
Caraguatatuba,2018,2283.0,21.04984093319193,34283,-0.67217151962915
Caraguatatuba,2019,2870.0,25.71178274200614,36308,5.906717615144541
Caraguatatuba,2020,3157.0,10.000000000000009,36978,1.8453233447174089
Caraguatatuba,2021,3565.0,12.923661704149511,38547,4.243063443128348
Caçapava,2018,1202.0,14.041745730550282,30295,8.623162423807806
Caçapava,2019,1420.0,18.13643926788686,28849,-4.77306486218848
Caçapava,2020,1762.0,24.084507042253517,28461,-1.3449339665153048
Caçapava,2021,1959.0,11.180476730987522,30127,5.853624257756218
Cruzeiro,2018,1214.0,13.564078578110394,20683,3.3943211357728487
Cruzeiro,2019,1380.0,13.673805601317968,21042,1.735724991538956
Cruzeiro,2020,1523.0,10.362318840579722,21981,4.46250356429998
Cruzeiro,2021,1521.0,-0.1313197636244267,23498,6.901414858286703
Cunha,2018,439.0,-10.224948875255624,2760,-0.8264462809917328
Cunha,2019,429.0,-2.277904328018221,2805,1.6304347826086918
Cunha,2020,424.0,-1.1655011655011704,2758,-1.6755793226381432
Cunha,2021,683.0,61.084905660377366,2841,3.009427121102237
Guaratinguetá,2018,1734.0,17.162162162162154,3767,5.429610971172694
Guaratinguetá,2019,2187.0,26.124567474048433,4084,8.41518449694718
Guaratinguetá,2020,2556.0,16.872427983539097,4146,1.518119490695402
Guaratinguetá,2021,2653.0,3.794992175273859,4892,17.99324650265317
Igaratá,2018,236.0,66.19718309859155,2085,0.9685230024213176
Igaratá,2019,246.0,4.237288135593231,2068,-0.8153477218225458
Igaratá,2020,371.0,50.81300813008129,2072,0.19342359767891
Igaratá,2021,355.0,-4.312668463611857,2100,1.3513513513513598
Ilhabela,2018,711.0,0.994318181818188,12160,0.7874015748031482
Ilhabela,2019,949.0,33.47398030942335,12473,2.574013157894739
Ilhabela,2020,1143.0,20.442571127502628,12730,2.060450573238204
Ilhabela,2021,960.0,-16.010498687664043,13518,6.190102120974084
Jacareí,2018,3233.0,18.381545221530573,68153,3.645294725956561
Jacareí,2019,4362.0,34.921125889266925,70176,2.9683212771264733
Jacareí,2020,5305.0,21.618523613021544,67642,-3.6109211126310936
Jacareí,2021,5944.0,12.045240339302543,73303,8.369060642795901
Jambeiro,2018,92.0,-30.827067669172937,4707,11.513859275053306
Jambeiro,2019,113.0,22.826086956521728,3950,-16.082430422774596
Jambeiro,2020,172.0,52.212389380530965,4204,6.430379746835446
Jambeiro,2021,128.0,-25.58139534883721,5570,32.49286393910562
Lagoinha,2018,93.0,-21.84873949579832,855,-9.427966101694915
Lagoinha,2019,93.0,0.0,879,2.807017543859658
Lagoinha,2020,144.0,54.83870967741935,816,-7.167235494880542
Lagoinha,2021,137.0,-4.861111111111116,812,-0.4901960784313708
Lorena,2018,1162.0,6.312900274473932,22668,-1.618853348378979
Lorena,2019,1355.0,16.609294320137693,22271,-1.7513675666137265
Lorena,2020,1761.0,29.963099630996304,22618,1.558080014368457
Lorena,2021,1776.0,0.8517887563884052,24117,6.627464851003628
Monteiro Lobato,2018,82.0,7.8947368421052655,896,5.535924617196697
Monteiro Lobato,2019,114.0,39.02439024390243,790,-11.83035714285714
Monteiro Lobato,2020,163.0,42.98245614035088,782,-1.0126582278481069
Monteiro Lobato,2021,91.0,-44.171779141104295,812,3.836317135549882
Natividade Da Serra,2018,123.0,-11.51079136690647,848,1.193317422434359
Natividade Da Serra,2019,153.0,24.390243902439025,821,-3.1839622641509413
Natividade Da Serra,2020,218.0,42.48366013071896,792,-3.532277710109621
Natividade Da Serra,2021,177.0,-18.80733944954128,873,10.22727272727273
Paraibuna,2018,279.0,-0.3571428571428559,3553,-0.196629213483146
Paraibuna,2019,317.0,13.62007168458781,3460,-2.6175063326766117
Paraibuna,2020,426.0,34.38485804416405,3443,-0.4913294797687872
Paraibuna,2021,383.0,-10.093896713615024,3402,-1.1908219575951229
Pindamonhangaba,2018,2165.0,19.878183831672214,43237,6.3405396099264655
Pindamonhangaba,2019,2532.0,16.951501154734405,45387,4.972592918102547
Pindamonhangaba,2020,3029.0,19.62875197472353,43275,-4.65331482583119
Pindamonhangaba,2021,3294.0,8.74876196764609,45111,4.24263431542462
Piquete,2018,153.0,14.179104477611949,1659,-2.811950790861162
Piquete,2019,144.0,-5.882352941176472,1729,4.219409282700415
Piquete,2020,372.0,158.33333333333334,2133,23.366107576633887
Piquete,2021,205.0,-44.892473118279575,2652,24.33192686357244
Potim,2018,270.0,9.756097560975618,1790,-2.9284164859002204
Potim,2019,300.0,11.111111111111116,1821,1.731843575419001
Potim,2020,387.0,29.000000000000004,1731,-4.94233937397035
Potim,2021,390.0,0.7751937984496138,1841,6.354708261120745
Redenção Da Serra,2018,52.0,-23.529411764705888,8205,945.2229299363058
Redenção Da Serra,2019,77.0,48.07692307692308,1164,-85.81352833638024
Redenção Da Serra,2020,161.0,109.09090909090908,1822,56.529209621993125
Redenção Da Serra,2021,104.0,-35.40372670807454,754,-58.61690450054885
Roseira,2018,183.0,23.64864864864864,3116,-0.9220985691573924
Roseira,2019,204.0,11.475409836065564,3236,3.8510911424903815
Roseira,2020,316.0,54.90196078431373,3362,3.8936959208899946
Roseira,2021,258.0,-18.354430379746837,3544,5.413444378346233
Santa Branca,2018,163.0,1.8750000000000044,3444,-58.43089921544961
Santa Branca,2019,227.0,39.26380368098159,2911,-15.476190476190476
Santa Branca,2020,367.0,61.67400881057268,2726,-6.355204397114389
Santa Branca,2021,273.0,-25.61307901907357,3181,16.69112252384446
Santo Antônio Do Pinhal,2018,193.0,16.96969696969697,1498,-3.912764592687623
Santo Antônio Do Pinhal,2019,230.0,19.17098445595855,1553,3.671562082777036
Santo Antônio Do Pinhal,2020,220.0,-4.347826086956519,1428,-8.048937540244683
Santo Antônio Do Pinhal,2021,225.0,2.2727272727272707,1542,7.983193277310918
São Bento Do Sapucaí,2018,209.0,5.025125628140703,2085,8.763693270735518
São Bento Do Sapucaí,2019,219.0,4.784688995215314,2154,3.3093525179856087
São Bento Do Sapucaí,2020,310.0,41.55251141552512,1989,-7.660167130919215
São Bento Do Sapucaí,2021,253.0,-18.387096774193544,3497,75.81699346405229
São José Dos Campos,2018,12731.0,29.104553290741308,268098,-0.9586505746362106
São José Dos Campos,2019,17361.0,36.3679208231875,268869,0.287581406799009
São José Dos Campos,2020,18723.0,7.845170209089347,262763,-2.270994424794226
São José Dos Campos,2021,21313.0,13.8332532179672,273564,4.110548288762117
São Luís Do Paraitinga,2018,229.0,59.02777777777777,2604,5.42510121457489
São Luís Do Paraitinga,2019,219.0,-4.366812227074234,2292,-11.981566820276502
São Luís Do Paraitinga,2020,324.0,47.94520547945205,2217,-3.27225130890052
São Luís Do Paraitinga,2021,310.0,-4.320987654320985,2208,-0.4059539918809252
São Sebastião,2018,1253.0,902.4,2210,-6.751054852320671
São Sebastião,2019,1491.0,988.3211678832116,2170,-1.8099547511312264
São Sebastião,2020,1909.0,899.476439790576,2264,4.331797235023038
São Sebastião,2021,1911.0,792.9906542056076,2549,12.588339222614842
Taubaté,2018,5053.0,12.513916722333551,111835,1.3650082933770902
Taubaté,2019,6715.0,32.891351672273906,115826,3.56865024366253
Taubaté,2020,7673.0,14.266567386448248,108624,-6.217947611071784
Taubaté,2021,8151.0,6.229636387332205,114173,5.108447488584478
Tremembé,2018,552.0,-1.6042780748663057,6570,4.501351996182601
Tremembé,2019,753.0,36.41304347826087,6352,-3.318112633181125
Tremembé,2020,936.0,24.302788844621517,6244,-1.700251889168769
Tremembé,2021,866.0,-7.478632478632474,7667,22.789878283151825
Ubatuba,2018,1740.0,16.15487316421895,27262,2.7707618652693444
Ubatuba,2019,2309.0,32.70114942528735,29054,6.573252145844033
Ubatuba,2020,2555.0,10.65396275443915,28259,-2.736284160528668
Ubatuba,2021,2425.0,-5.088062622309197,29675,5.010793021692206
